time,power
2021/1/1 0:00,28354
2021/1/1 0:30,28501
2021/1/1 1:00,27759
2021/1/1 1:30,26912
2021/1/1 2:00,26004
2021/1/1 2:30,25361
2021/1/1 3:00,24739
2021/1/1 3:30,24189
2021/1/1 4:00,23770
2021/1/1 4:30,23433
2021/1/1 5:00,23418
2021/1/1 5:30,23371
2021/1/1 6:00,24055
2021/1/1 6:30,24462
2021/1/1 7:00,25048
2021/1/1 7:30,25259
2021/1/1 8:00,25852
2021/1/1 8:30,26729
2021/1/1 9:00,28128
2021/1/1 9:30,29488
2021/1/1 10:00,30730
2021/1/1 10:30,31720
2021/1/1 11:00,32729
2021/1/1 11:30,33388
2021/1/1 12:00,34221
2021/1/1 12:30,34725
2021/1/1 13:00,34973
2021/1/1 13:30,34914
2021/1/1 14:00,35016
2021/1/1 14:30,35090
2021/1/1 15:00,35394
2021/1/1 15:30,36087
2021/1/1 16:00,37497
2021/1/1 16:30,39431
2021/1/1 17:00,39916
2021/1/1 17:30,39653
2021/1/1 18:00,38816
2021/1/1 18:30,37566
2021/1/1 19:00,36293
2021/1/1 19:30,35041
2021/1/1 20:00,33993
2021/1/1 20:30,32907
2021/1/1 21:00,31743
2021/1/1 21:30,30641
2021/1/1 22:00,29547
2021/1/1 22:30,28426
2021/1/1 23:00,26737
2021/1/1 23:30,25743
2021/1/2 0:00,25606
2021/1/2 0:30,25970
2021/1/2 1:00,25580
2021/1/2 1:30,25064
2021/1/2 2:00,24605
2021/1/2 2:30,24154
2021/1/2 3:00,23841
2021/1/2 3:30,23471
2021/1/2 4:00,23148
2021/1/2 4:30,22965
2021/1/2 5:00,23297
2021/1/2 5:30,23555
2021/1/2 6:00,24601
2021/1/2 6:30,25369
2021/1/2 7:00,26379
2021/1/2 7:30,26948
2021/1/2 8:00,28152
2021/1/2 8:30,29540
2021/1/2 9:00,30886
2021/1/2 9:30,31826
2021/1/2 10:00,32458
2021/1/2 10:30,32935
2021/1/2 11:00,33257
2021/1/2 11:30,33929
2021/1/2 12:00,34605
2021/1/2 12:30,34974
2021/1/2 13:00,35486
2021/1/2 13:30,35457
2021/1/2 14:00,35692
2021/1/2 14:30,36057
2021/1/2 15:00,36588
2021/1/2 15:30,37096
2021/1/2 16:00,38652
2021/1/2 16:30,40745
2021/1/2 17:00,41530
2021/1/2 17:30,41549
2021/1/2 18:00,40687
2021/1/2 18:30,39777
2021/1/2 19:00,38809
2021/1/2 19:30,37246
2021/1/2 20:00,36128
2021/1/2 20:30,34813
2021/1/2 21:00,33609
2021/1/2 21:30,32246
2021/1/2 22:00,30742
2021/1/2 22:30,29342
2021/1/2 23:00,27729
2021/1/2 23:30,26871
2021/1/3 0:00,26499
2021/1/3 0:30,26615
2021/1/3 1:00,26278
2021/1/3 1:30,25585
2021/1/3 2:00,25055
2021/1/3 2:30,24657
2021/1/3 3:00,24211
2021/1/3 3:30,23563
2021/1/3 4:00,23181
2021/1/3 4:30,22910
2021/1/3 5:00,22983
2021/1/3 5:30,23000
2021/1/3 6:00,23846
2021/1/3 6:30,24316
2021/1/3 7:00,25253
2021/1/3 7:30,25727
2021/1/3 8:00,26766
2021/1/3 8:30,28350
2021/1/3 9:00,30028
2021/1/3 9:30,31485
2021/1/3 10:00,32725
2021/1/3 10:30,33454
2021/1/3 11:00,34104
2021/1/3 11:30,34534
2021/1/3 12:00,35113
2021/1/3 12:30,35593
2021/1/3 13:00,35630
2021/1/3 13:30,35793
2021/1/3 14:00,36102
2021/1/3 14:30,36453
2021/1/3 15:00,37349
2021/1/3 15:30,38256
2021/1/3 16:00,40210
2021/1/3 16:30,42031
2021/1/3 17:00,42634
2021/1/3 17:30,42416
2021/1/3 18:00,41516
2021/1/3 18:30,40103
2021/1/3 19:00,38512
2021/1/3 19:30,36943
2021/1/3 20:00,35860
2021/1/3 20:30,34350
2021/1/3 21:00,32941
2021/1/3 21:30,31491
2021/1/3 22:00,30063
2021/1/3 22:30,28472
2021/1/3 23:00,26951
2021/1/3 23:30,25767
2021/1/4 0:00,25540
2021/1/4 0:30,26153
2021/1/4 1:00,25980
2021/1/4 1:30,25371
2021/1/4 2:00,24748
2021/1/4 2:30,24467
2021/1/4 3:00,24240
2021/1/4 3:30,23904
2021/1/4 4:00,23753
2021/1/4 4:30,23838
2021/1/4 5:00,24419
2021/1/4 5:30,25418
2021/1/4 6:00,27777
2021/1/4 6:30,29924
2021/1/4 7:00,32402
2021/1/4 7:30,34266
2021/1/4 8:00,36353
2021/1/4 8:30,37798
2021/1/4 9:00,39002
2021/1/4 9:30,39563
2021/1/4 10:00,39768
2021/1/4 10:30,39938
2021/1/4 11:00,40462
2021/1/4 11:30,40534
2021/1/4 12:00,40955
2021/1/4 12:30,41165
2021/1/4 13:00,41667
2021/1/4 13:30,41620
2021/1/4 14:00,41736
2021/1/4 14:30,41655
2021/1/4 15:00,41586
2021/1/4 15:30,42051
2021/1/4 16:00,43235
2021/1/4 16:30,44628
2021/1/4 17:00,45061
2021/1/4 17:30,44766
2021/1/4 18:00,44363
2021/1/4 18:30,43648
2021/1/4 19:00,42369
2021/1/4 19:30,40912
2021/1/4 20:00,38833
2021/1/4 20:30,37601
2021/1/4 21:00,36206
2021/1/4 21:30,34427
2021/1/4 22:00,32509
2021/1/4 22:30,30762
2021/1/4 23:00,29060
2021/1/4 23:30,27652
2021/1/5 0:00,27447
2021/1/5 0:30,27781
2021/1/5 1:00,27473
2021/1/5 1:30,26854
2021/1/5 2:00,26592
2021/1/5 2:30,26376
2021/1/5 3:00,26142
2021/1/5 3:30,25752
2021/1/5 4:00,25587
2021/1/5 4:30,25719
2021/1/5 5:00,26163
2021/1/5 5:30,27055
2021/1/5 6:00,29470
2021/1/5 6:30,31425
2021/1/5 7:00,33780
2021/1/5 7:30,35952
2021/1/5 8:00,37959
2021/1/5 8:30,39245
2021/1/5 9:00,39948
2021/1/5 9:30,40414
2021/1/5 10:00,40205
2021/1/5 10:30,40300
2021/1/5 11:00,40300
2021/1/5 11:30,40252
2021/1/5 12:00,40431
2021/1/5 12:30,40678
2021/1/5 13:00,41088
2021/1/5 13:30,41065
2021/1/5 14:00,41301
2021/1/5 14:30,41439
2021/1/5 15:00,42073
2021/1/5 15:30,42657
2021/1/5 16:00,43805
2021/1/5 16:30,44595
2021/1/5 17:00,44756
2021/1/5 17:30,44674
2021/1/5 18:00,44601
2021/1/5 18:30,43760
2021/1/5 19:00,42858
2021/1/5 19:30,41618
2021/1/5 20:00,40398
2021/1/5 20:30,39013
2021/1/5 21:00,37036
2021/1/5 21:30,35323
2021/1/5 22:00,33393
2021/1/5 22:30,31614
2021/1/5 23:00,29909
2021/1/5 23:30,28731
2021/1/6 0:00,28511
2021/1/6 0:30,29027
2021/1/6 1:00,28845
2021/1/6 1:30,28391
2021/1/6 2:00,27947
2021/1/6 2:30,27533
2021/1/6 3:00,27251
2021/1/6 3:30,26834
2021/1/6 4:00,26698
2021/1/6 4:30,26776
2021/1/6 5:00,27343
2021/1/6 5:30,28496
2021/1/6 6:00,30965
2021/1/6 6:30,33049
2021/1/6 7:00,35827
2021/1/6 7:30,38045
2021/1/6 8:00,40004
2021/1/6 8:30,41007
2021/1/6 9:00,41246
2021/1/6 9:30,41464
2021/1/6 10:00,41723
2021/1/6 10:30,41817
2021/1/6 11:00,42185
2021/1/6 11:30,42319
2021/1/6 12:00,42500
2021/1/6 12:30,42296
2021/1/6 13:00,42124
2021/1/6 13:30,41887
2021/1/6 14:00,41826
2021/1/6 14:30,41885
2021/1/6 15:00,42630
2021/1/6 15:30,43527
2021/1/6 16:00,43729
2021/1/6 16:30,45207
2021/1/6 17:00,45903
2021/1/6 17:30,46053
2021/1/6 18:00,45565
2021/1/6 18:30,45307
2021/1/6 19:00,44208
2021/1/6 19:30,43003
2021/1/6 20:00,41639
2021/1/6 20:30,40255
2021/1/6 21:00,38380
2021/1/6 21:30,36713
2021/1/6 22:00,34683
2021/1/6 22:30,32898
2021/1/6 23:00,30853
2021/1/6 23:30,29535
2021/1/7 0:00,29461
2021/1/7 0:30,29762
2021/1/7 1:00,29487
2021/1/7 1:30,29065
2021/1/7 2:00,28584
2021/1/7 2:30,28361
2021/1/7 3:00,28065
2021/1/7 3:30,27659
2021/1/7 4:00,27343
2021/1/7 4:30,27456
2021/1/7 5:00,28024
2021/1/7 5:30,29203
2021/1/7 6:00,31437
2021/1/7 6:30,33464
2021/1/7 7:00,35913
2021/1/7 7:30,37798
2021/1/7 8:00,40143
2021/1/7 8:30,41184
2021/1/7 9:00,41968
2021/1/7 9:30,42151
2021/1/7 10:00,42030
2021/1/7 10:30,41867
2021/1/7 11:00,42260
2021/1/7 11:30,42081
2021/1/7 12:00,42233
2021/1/7 12:30,42119
2021/1/7 13:00,42096
2021/1/7 13:30,41906
2021/1/7 14:00,42378
2021/1/7 14:30,42587
2021/1/7 15:00,42853
2021/1/7 15:30,43388
2021/1/7 16:00,44441
2021/1/7 16:30,45678
2021/1/7 17:00,46433
2021/1/7 17:30,46405
2021/1/7 18:00,45768
2021/1/7 18:30,45333
2021/1/7 19:00,44599
2021/1/7 19:30,42815
2021/1/7 20:00,41340
